,tag,text
29444,pos,"because of this episode , we know exactly what it is whale wants when he asks clayton to pose for him for a painting , later making the excuse that his bright , white shirt is disracting only so he will take it off ."
21265,pos,it is some of the best stop motion i have ever seen .
13837,pos,""" existenz "" has the opportunities and potential , but the enormous possibilities are never quite explored ."
30190,pos,"he is given an incredible apartment ( which is bigger than my entire house now ) , and a hefty paycheck ."
8510,pos,"how about "" diamonds are a girl's best friend "" spiced with portions of "" material girl ? """
21937,pos,"this "" simple plan "" suddenly goes screwy , of course , and the boys become involved with a stripper named ferris ( jennifer tilly ) who wants her stepmother killed , a paranoid latin drug lord who's convinced a mysterious rival is out to get him , and a rat with its tail on fire ."
4897,pos,"after the marriage , the group , including axel ( chuck aspegren ) , spend one last day on a hunting trip , one of their favorite past-times ."
24785,pos,""" carlito's way "" is one of those films which you heard about briefly , but when you finally watch it , you're absolutely blown away ."
14819,pos,"the mask of zorro has the hallmarks of a blockbuster : big action , funny comedy , and the pacing of a rollercoaster ."
9189,pos,""" toy story 2 "" is strong in characterization , and is able to expand on what we saw in the first movie ."
12526,pos,blue sky is based on the story of the stagner family .
26866,pos,"many will compare this tale of martians who invade earth to independence day , but even though the stories are similar , they really are two distinctly different films ."
475,pos,"one that comes to mind is "" the matrix "" when neo , morpheus , trinity , and the rest of the gang first come into the virtual world ."
20456,pos,"tarzan chad'z = good ) 1999 , g , 90 minutes [1 hour , 30 minutes] [animated - adventure/drama] starring the voices of : tony goldwyn ( tarzan ) , minnie driver ( jane porter ) , lance henriksen ( kerchak ) , brian blessed ( clayton ) ; written by tab murphy , bob tzudiker , noni white ; produced by bonnie arnold ; directed by chris buck , kevin lima ; based on the story `tarzan of the apes' and characters created by edgar rice burroughs ."
13805,pos,the character of david drumlin is another problem with this film .
11764,pos,"steven spielberg has always been a skilfull filmmaker -- his assured hand churned out both jurassic parks , jaws , the indiana jones films , and e . t ."
18072,pos,"the writer/producer , david field , seems to literally take all the "" yeah , but in real life , this would have happen "" thoughts you get in your head , sticks them in the movie and uses them to bend the plot around to his original heading , in a stronger way then before !"
8885,pos,"mighty joe young tracks a 2 , 000 pound gorilla in the wilds of africa that is taken to a reserve in . . ."
12686,pos,and that's something i wish i got out of more movies .
3070,pos,"in the process , he not only creates a truly likable and memorable character in giles , but says a few things about the transforming power of love , even if it is unrequited ."
12779,pos,"only two things are different in the movie : the absence of forrester's sidekick , tv's frank , and the slower pace of the jokes ."
19954,pos,"three kings ranks among the best films of the year , well , for me at least ."
8603,pos,"but then dixon's crack team of homeless commandos bust him out of the lockup - and suddenly magruder finds himself , mallory and his own children in danger ."
19211,pos,is it possible the wedding singer could be one of the sweetest romantic comedies of 1998 ?
15274,pos,so does a marriage based upon his truth .
25876,pos,"one of these toys is wheezy , a penguin with a broken squeaker ."
29302,pos,"the better picture between the two depends on the viewer , but the key to the success of the matrix is that the noise did not get in the way of the fun ."
685,pos,"remake reservoir dogs as a french art film and you're halfway to killing zoe , writer/director roger avary's slow-moving story of a failed bastille day bank robbery ."
3138,pos,"besides eternal damnation , of course ."
8338,pos,we soon find out why in a painful scene where lucas is humiliated by the jocks during a pep rally .
11487,pos,"it's a few years later , and they both still think of each other , so maurice hires a private detective ( ian hart ) to see what sarah is up too ."
12163,pos,"trouble is , murnau's monster is pale-faced , bald , pointy-eared , and non-goateed , and there isn't a single sexy , writhing woman to be found in his movie ."
25126,pos,i liked howard morris the best as howard the accountant who has to diet to support his wife .
29210,pos,i can say however i liked this movie .
25617,pos,the film is set in burma in 1943 .
32659,pos,"more than likely , they would probably have nightmares and never have sex for the rest of their lives ."
30254,pos,"one familiar face with a twist was "" coach "" star , craig t . nelson , who gives a very good performance ."
2708,pos,it also sports a new alien with 4 legs !
3391,pos,and the soundtrack's mix of electronic atmospheres and gothic rock by frequent argento collaborators goblin is the perfect accompaniment .
21275,pos,"the coens might have done well to title the film "" fear and loathing in texas . """
10202,pos,"that , to me , is what makes a dog of flanders all the more delightful ."
29266,pos,"and rescue he does , enduring batterings , beatings , falls , repeated immersion in 34-degree water , explosions , mud , rats , and constant setbacks , before going on to save the day , sly-style ."
10368,pos,"freed from her needs to direct by director zemecki , foster is able to let it all hang out in the characterization and the lead she provides to her supporting cast ."
23324,pos,5 . they all have to be slightly to highly neurotic .
21506,pos,""" you make me want to be a better man , "" he tells her ."
14581,pos,"no major surprise , when j . s . mill in his victorian classic on liberty could not make up his mind over liberal democracy either ."
1982,pos,"as evidence , belone concocts provocative photographs of pignon locked in a leather-clad embrace with another man and mails them anonymously to pignon's boss ."
21173,pos,it turns out that this planet is the fountain of youth and the federation and their alien buddies feel that is should be used for the good of everyone and not just a few hundred colonists .
28044,pos,"written by hershman , greenfingers contains plenty of laughs ."
26428,pos,larry and phil can't fathom how bob didn't make a sales pitch .
4118,pos,some of the movie's flashes of humor are surreal as well as typically burton : an organ-grinder ape with a midget or an elderly ape taking off a wig and removing false teeth as he prepares for bed .
32100,pos,"the sheer anarchy of the proceedings was nothing short of wonderful , as ashley judd kicks the crap out of every authority figure in the book ."
11290,pos,is her political nemesis and turns in a good alexander haig performance .
6182,pos,titanic runs far too long .
7752,pos,"damon effortlessly blends the carelesness of a gregarious , confused thug with the absorbing ingeniousness of someone like einstein ."
11132,pos,"like emmerich's id4 , this is obvious propaganda where the americans are the hapless underdogs motivated by freedom for all ."
32817,pos,"the soldiers suffer innumerable hardships , but somehow they never lose their morale ."
26965,pos,the hard thing about writing reviews for comedies is that i'm supposed to give examples of things and be specific .
1772,pos,"the disney studios has its formula for annual , full-length animated features down so pat that it's hard to remember which one you're watching at any given moment ."
694,pos,really .
21580,pos,"-------------------------------------------------------------- directed by john lasseter , colin brady , ash brannon , and lee unkrich written by lasseter , brannon , peter docter , andrew stanton , rita hsaio , doug chamberlain , and chris webb cinematography by sharon calahan starring ( voices ) tom hanks , tim allen , and joan cusack usa , 1999"
31059,pos,"the biggest problem with the phantom menace is not the plot or the characters , but the interaction between them ."
23546,pos,"can george lucas succeed yet again with transporting us back a long time ago , in a galaxy far , far away . . . . ?"
26844,pos,"the third arc , about zack and adam , again overlaps with ronna's story telling much of the same story but from a completely different angle ."
26897,pos,"this writer richard curtis , whose exceptional first work ? four weddings and funeral' shows us that he is a master in the domain of the romantic comedy , with splashes of drama thrown in between ."
12786,pos,"i presume it was an attempt to gain a larger following to keep support behind the series ( rumours of its impending demise circulated for some time before the plug was eventually pulled a few months ago ) , but the format gains nothing from its transition to the big screen -- there are no special effects to dazzle you , no action sequences to keep you on the edge of your seat , and no use of digital surround sound ."
13947,pos,"along the way , he meets john the baptist , the = rest of the prophets , and tries to teach the world his message ."
12356,pos,"such scenes might be appropriate in an out-and-out satire , making zero an ace ventura-ish character ."
13329,pos,"and the procedures , are not always "" fresh "" food , but a new packaging and a new date , to try and convince the customers that quality is on the shelves ."
32695,pos,girl likes boy .
9479,pos,"the cast ( all very good comedic talents ) play well off one another , while the late madeline kahn ( as the dark and sultry mrs . white ) sometimes steals the film away from the rest ."
2324,pos,a lady in front of us took her two young sons to see it and spent about 25 - 30 minutes covering the youngest's eyes with her hand .
30665,pos,"to celebrate the release of an updated version of fantasia , disney and imax teamed up to present the animated film in a fashion no one had seen before : six stories high ."
3301,pos,there is a great sense of comradeship between gerard and his two closest deputies cosmo renfo ( pantoliano ) and biggs ( roebuck ) .
6344,pos,"undaunted , allie managed to gather a loyal group of `believers' and eventually found funding from a large private corporation ."
14846,pos,"in the end however , zorro provides action and comedy in spades ."
8892,pos,"the second half is a straight up parody of king kong , awestruck onlookers and all ."
21033,pos,witness the wasted seventeen minutes that could have been spent elsewhere .
27887,pos,"midnight in the garden of good and evil is an eastwood-directed film clint isn't even in , and it's damn good ."
6209,pos,the film is riddled with telling symbols ( e . g .
13051,pos,"drawn in the style of caricaturist al hirschfeld and inspired by george gershwin's rhapsody in blue , the music and images are blended perfectly resulting in a product greater than the sum of its two parts ."
27754,pos,"some might think this film is vulgar , and in many ways it is ."
20115,pos,"sean penn is always good , and he gives yet another credible performance as douglas' brother ."
30683,pos,absolutely beautiful stuff .
31792,pos,there is an overarching galactic united nations-type organization called the senate presided by a weak chancellor .
11343,pos,"their last bout pitted them against each other and was a draw , leaving bobby's record at 5-5-1 ."
26423,pos,this is his first time for him on the road .
17294,pos,the animation is clean and would give walt a warm feeling all over .
4351,pos,"of course , jackie also happens to be a talented martial artist , and these skills come in handy when he becomes involved in an ambitious reporter's ( gabrielle fitzpatrick ) expose of a drug dealing ring ."
22449,pos,"where the former two have a specific comic-book following , the latter is an original work with the potential for broader appeal ."
16480,pos,""" alien "" is a claustrophobic exercise in quiet frights ."
29738,pos,exotica is a film that grows on retrospection .
12057,pos,"well , i swore never to give a movie the full five stars so i had to find something about the in his ice truck , the tracks it leaves in the snow behind him go on for several miles but then they just stop ."
1640,pos,"written for the screen and directed by coppola , the rainmaker is the best grisham film yet mostly because it does not take itself too seriously ."
365,pos,a final speech by adams is followed by an anticlimax where subtitles show what eventually happened to the various characters .
19611,pos,there are a lot of very nice shots around their hotel .
22523,pos,"because of this , i will tread lightly so i don't ruin it for anyone reading this review , and it would be very advisable to avoid all other material regarding this film until after you have seen it ."
27516,pos,mr . darabont also overplays his hand considerably in the manipulation of our affection towards and association with his characters .
7840,pos,"bala asks z is he would like to dance , and they engage in a pulp fiction-esque dance while everyone else is following the leader ."
3677,pos,"lastly , who are the ideal companions for this sort of movie ? my grandmother comes to mind ."
15517,pos,"kujan wants to confirm that his nemesis , the rogue cop keaton ( gabriel byrne ) , is actually dead ."
8662,pos,"bruce bickford's outlandish clay animation is that beyond belief with zooms , morphings , etc . and actually , it doesn't even look like clay , it looks like meat ."
16328,pos,because it's not handled like the greatest story ever told is precisely why it's so great .
1749,pos,he provided a fantastic performance .
18856,pos,"his newest target is young mother willa harper ( shelley winters ) , whose murderer husband ben ( peter graves ) has hidden $10 , 000 somewhere ."
21452,pos,"although there is a victory for the leading characters , this resolution suggests a disturbing element of fantasy in jane , and thus a deep-seated character flaw ."
10529,pos,"they know not who she is , but that doesn't matter ."
5906,pos,in other movies sex is glamorized .
3967,pos,""" what's the difference between 60 million and 100 million dead ? """
25148,pos,"he manages to do so , but he is himself captured and thrown into the dungeon ."
15813,pos,"they seek help with a friend of jackson's ( played by the q-man himself ) , desperately in need of a stress ball ."
14815,pos,"his favorite parts are the battles and the ending , and his favorite characters are robin and king richard ( ian hunter ) ."
30462,pos,the shocking conclusion is just as unpredictable as the endings of most films are predictable .
1375,pos,but this is a relatively small complaint about a very good movie .
31670,pos,"one of her university students ( she's reading virginia woolf's "" the waves "" ) turns out to be one of the young men who participated in the beach search ."
13655,pos,"it's a worthy effort , with terrific acting and some impressive writing from elmore leonard and tarantino ."
12874,pos,"like so many previous reviewers , i must note that i watched star wars for the first time twenty years ago , and that i remained enchanted by the experience ever since ."
3836,pos,"but the thing that held this movie back more than anything else was its lead character , his cold demeanor and the zero chemistry that he shared with either one of his inter-species love interests ."
10023,pos,are we to assume that toddler truman had no recollection of hearing the construction of such a gigantic dome during his formative years ?
5927,pos,gas stations are the same .
6803,pos,"as the bar scene progresses , the camera pans 180 degrees to reveal the fury of the mob ."
1513,pos,we see most of the events through the stories of four teenagers and how life affects them .
22694,pos,"mary stein plays the owner of the flealands hotel , an animal-loving young spinster who harbors these lost creatures much to the dismaying anger of her fellow neighbors ."
22490,pos,"the remaining girls manage to smug nikki's diary out of her grieving mother's home , and page through it at patti's place , investigating the root of nikki's despair ."
26916,pos,"it also lives on in conventions , gatherings of the show's obsessive fans who never fail to dress in "" galaxy quest "" costumes and ask absurdly logical questions about its delirious technobabble ."
10963,pos,"he blends into his role here perfectly as the risk taking jack foley , who's willing to gamble everything on the chance that karen sisco might be his true love ."
18086,pos,"in a perfect world , "" a civil action "" would be a breath of fresh air ."
4786,pos,"unfortunately , it was saturated with traditional , disney-cute animation , and lost points against the rapidly-changing face of the competition ."
24197,pos,i got the feeling that itus 2 1/2 hour running time could have been cut by 15 or 20 minutes without losing any of its resonance .
8068,pos,"he says to a black congregation "" . . . if you can't cut down on malt liquor and chicken wings and get behind someone other than a running back who stabs his wife , you're never gonna get rid of me . "" )"
13657,pos,"i can't remember seeing her in anything ( except for a small role in mars attacks ! ) , but hopefully she will get many more roles from this one ."
29554,pos,"now , to produce the effect that i mentioned above and to sink the ship itself are feats that are accomplished by special effects wizards ."
26327,pos,"instead they wanted to stop short of condemning so many small american towns where lynchings actually do occur , and they thereby meddled throughout the entire script ."
9461,pos,"many of the individual scenes are strong enough to earn good will hunting a recommendation , even if the overall story is somewhat generic ."
9034,pos,"the muppet movie is the first , and the best movie among the ever-growing list of muppet movies ."
30029,pos,"archer finds himself having a secret love affair in his mind with countess olenska , attempting to keep her in his mind while trying not to lose his social status ."
23244,pos,the various predicaments of the clock family are clever and thrilling .
25918,pos,bottom line : this one really is fun for the whole family !
5842,pos,"daniel uses his access to the house to keep an eye on miranda's flirtation with a wealthy client ( pierce brosnan ) , to spend time with the children , and to learn something about responsible parenting , all the while trying to keep his identity hidden from the people who know him best ."
14742,pos,"their apartment and almost everything in the film casts reflections and the crew can be seen in these , some quite glaringly ."
19044,pos,"gu shoots the interiors , which are almost all dark wood paneling , with a minimum of light ."
21116,pos,"hardcore , on the other hand , might serve as precious document , because it depicts sex film industry in the period often regarded as the golden age by connoisseurs - before the advent of video , when many of the porno filmmakers could afford to think of themselves as artists ."
26053,pos,"ted "" unabomber """
19256,pos,"eddie murphy who showed his voice talent in 1998s "" mulan "" does another bang up job here , and he is the comic relief in the film ."
13366,pos,"even the plot to this film improved above the others , as a sort-of twisted nuclear-weapon smuggling deal is botched and jackie takes the blame ."
8549,pos,felicity shagwell is one shagadellic babe .
12262,pos,"she speaks all her words in almost zombie-like hushes , and when she's having sex , she has a blank look on her face , not showing the viewer whether she's enjoying it or not ."
22546,pos,"his performance is not flashy , nor memorable , just solid ."
28182,pos,"ultimately however , the thin red line's interest is not in the characters and it is not in drama ."
1626,pos,"then there are the others : pinto , a wimp ; flounder , a blimp ; d . day , a biker ; stork , who may or may not have brain-damage ; and last but not least . . ."
18591,pos,"but as i viewed 'double jeopardy' i found that it was a great movie , it has a surprising sense of humor and a big dose of heart , along with heart-pounding suspense and twists and turns here and there it certainly is a really good movie ."
29572,pos,the basic idea behind the movie is that every once in a while ( make that every 1000 years or so ) an evil force comes to destroy earth .
3442,pos,"he has a hard time taking control of his emotions , which usually gets the better of him ."
1823,pos,"directed by ron clements and john musker , with voice credits including tate donovan , susan egan , bob goldthwait , matt frewer , samantha eggar , paul shaffer , and , as lighting bolt zeus , rip torn , who's having a very good summer , also appearing in trial and error and men in black ."
15550,pos,it has happened again .
26156,pos,we are not invited to know what he is searching for until he finds it himself .
3727,pos,the animation is first-rate .
3219,pos,"providing solid support is cuba gooding , jnr ( jerry maguire , 1996 ) and yeardly smith ( who is the voice of lisa simpsons in the simpsons ) although gooding isn't as good as is character in maguire , he is still fun ."
17660,pos,"one of the best scenes in the film occurs toward the end as a crazed welles , who no longer seems like a hero , brutally beats one of the pornographers responsible for the snuff film ."
3111,pos,"douglas triumphs , playing against type as he spends most of his time disheveled , unshaven and clad in a pink women's house robe ."
20209,pos,this is because few moviegoers will care a whole lot about some guy in a leisure suit or terry cloth shirt sitting at a folding card table with a stogie in his mouth .
567,pos,"it's an exciting , often hilarious movie that engaged me and left me ready for the next star trek film ."
14356,pos,"filled with anecdotes , the show talks about the happenings at the various conventions ."
6542,pos,"then again , this is james cameron , the guy who has given us true lies and terminator 2 : judgment day ."
2922,pos,i appreciate a film that makes me have to think to keep up .
26084,pos,"one night three black youths break into derek's truck , which is exactly what derek has been waiting for ."
8642,pos,nearly every sequence flirts with becoming syrupy and cliched .
3547,pos,"but the true glue that holds this film together , other than the spirit of elvis himself , is costner and russell , who play their badass characters to the t . sure , russell's been down this road before , but costner surprised me with his nastiness ."
17931,pos,"you get the sense disney said to themselves , "" alright , let's get out there and find us some chinese americans in hollywood ."
15585,pos,that same lie has been perpetuated ad infinitum throughout the ages .
18613,pos,"even though a lot of critics didn't like the film , i loved it ."
32355,pos,everything you need to know is explained to the viewer by duchovny and others .
3131,pos,"starring brad pitt , anthony hopkins , claire forlani"
23903,pos,"rico has a leg that is paralysed from the knee down , so he walks in a peculiar way ."
15975,pos,"and so , wild things sets into motion ."
23937,pos,"shakespeare in love is one of the smartest , funniest , most touching films of the year ."
32042,pos,"in the long run , it will probably hurt the film , as people won't be able to think of or remember it ."
32345,pos,"the producers are not stupid , making a movie just for fans of the series is not profitable ."
17191,pos,"and when it doesn't work , it's just dull ."
5377,pos,a rather unusual thing about'the thirteenth floor' is the almost complete lack of special effects .
28927,pos,"though the film drags and even repeats itself , this can be somewhat excused as influenced by the process of grieving ."
851,pos,"later he will learn that his name is john murdoch ( sewell ) , but for now he has no idea what's going on other than the fact something is not right ."
7071,pos,"the film is set in toronto , and follows several people in their various escapades on the last night of existence ."
29278,pos,there is no question that action-adventure and science-fiction/action movies are now judged by the character of their light and noise .
14235,pos,possibly its some guy with a hook who wants to know what you did last summer .
10852,pos,a shot of an alien egg . . .
8777,pos,can you see it ?
25891,pos,"in other words , it's okay to be ordinary if you have love and a purpose in your life ."
3455,pos,he is moving towards a level of madness and insanity that defies comprehension .
1535,pos,"they tried to block it out , they tried to escape from the concerns of their world ."
2450,pos,or see how their children turn out ?
22103,pos,"it shouldn't come as any surprise that the acting , at least from three of the four leads , is solid ."
13940,pos,"scorsese presents the life of jesus = christ , through nikos kazantzakis' novel , which details the life of = christ from approximately 20 until the day of crucifixtion ."
19199,pos,"while the wedding singer maintains some of that post-snl cornball humor , its sincerity and charm carry it a very , very long way ."
11728,pos,"the material may be considered crude and tasteless by many , and i might have thought so as well had shandling not been the lead ."
2913,pos,"in particular , we got nick nolte as one hard-ass texas ranger , powers boothe as the drug kingpin , michael ironsides as the leader of the secret army , and rip torn as the local sheriff ."
2881,pos,"with two charismatic characters such as these , it's hard to ignore that `where the money is' is where the fun is ."
16833,pos,"clarence is an angel without his wings , and each time the bell rings , the wings pass him by ."
18796,pos,"roger ebert calls the american version the "" austin powers version , "" and many others have bashed the alterations ."
24522,pos,"the soundtrack is remastered ( though travolta still hits that awful high note at the end of "" nights "" ) and the restored widescreen allows us to see previously pan-and-scanned-out choreography , but nothing else has changed -- no computer-generated backgrounds , no outtakes or new musical numbers , no jabba the hutt cameos ."
12346,pos,"and they're even more so to his girlfriend , jess ( angela featherstone ) , who is fed up that her boyfriend's boss means more to arlo than her ."
25930,pos,from this point maclachlan finds himself involved with a lounge singer ( isabella rossellinia ) who has lost her son and husband to a kidnapping .
20232,pos,"the narrations are more informative than intrusive , and apprise us of what the stakes are and why certain players want to do the things they do ."
31847,pos,"for any groom on the verge of proposing marriage to his girlfriend , there are certain rules that he needs to follow ."
14301,pos,"the acting is quite good , with some occasional witty moments ."
